@RELATION bcica5
@ATTRIBUTE ica0     REAL
@ATTRIBUTE ica1     REAL
@ATTRIBUTE ica2     REAL
@ATTRIBUTE ica3     REAL
@ATTRIBUTE ica4     REAL
@ATTRIBUTE class    {0.000000,1.000000}

@DATA
1.361754, -0.249763, -0.110341, 0.059414, -0.079246,0.000000
0.420139, 0.506095, 0.118811, 0.010101, -0.172064,1.000000
0.283068, -0.570754, 0.405951, 0.152550, 0.016199,1.000000
-0.506061, -0.175321, 1.413096, -0.158432, 0.060453,1.000000
0.222038, 0.032799, 0.110922, -0.122243, -0.174317,1.000000
0.806112, 0.961127, -0.222096, -0.049825, -0.862758,0.000000
-1.204179, -0.330229, 1.773248, -0.602267, -0.073919,1.000000
-0.128452, -0.116886, 0.480915, 0.026565, -0.538863,0.000000
-0.133780, 0.020004, 0.081405, -0.186006, -0.074018,0.000000
0.260161, 0.001305, -0.013924, 0.069531, 0.199178,1.000000
-0.210659, 0.083675, -0.288922, -0.065603, -0.032320,1.000000
-2.037303, -10.076838, -1.079762, 0.364706, 0.035504,1.000000
-0.019974, -0.009662, -0.233628, -0.040299, 0.017379,1.000000
-0.058921, -0.068902, -0.071715, -0.323574, 0.792360,0.000000
-0.073820, 2.638934, -4.462090, -0.962778, -0.578792,1.000000
-0.209297, 0.349857, -0.063801, -0.577115, 0.845259,0.000000
-0.840554, -0.024572, 0.508739, 0.138724, -0.738060,0.000000
-0.079855, 0.206303, -0.119055, 0.205880, -0.341074,1.000000
1.392901, -0.004487, -0.840060, 0.069061, 0.149165,0.000000
-0.391564, 1.186781, -1.659446, -0.156866, -0.326692,1.000000
0.635172, -0.065038, -0.679053, 0.744827, 2.019772,0.000000
-9.309645, -0.479306, 1.136981, 0.577979, -0.256035,0.000000
-0.026733, -0.080769, -0.153875, -0.019496, -0.044430,1.000000
-0.206302, -0.205308, -0.093797, 0.084106, -0.053677,1.000000
0.178760, 0.117389, 0.133189, 0.525196, -1.789863,1.000000
-0.267571, 0.531781, 0.007214, 0.132684, -0.986016,0.000000
-0.550063, 3.020920, 3.440373, 0.250156, -0.976282,0.000000
-0.338195, 0.252930, -0.120684, 0.006653, -0.152934,1.000000
-0.221739, -0.143110, 0.189137, -0.287760, 0.106693,0.000000
0.130795, -0.234548, 0.548692, -0.170308, -0.041960,0.000000
0.284200, 0.615245, -0.363519, 0.285807, -1.196230,0.000000
0.108063, 0.179348, 0.317969, -0.140688, -0.149402,1.000000
0.680643, -0.050244, -0.494893, -0.152974, -0.475924,1.000000
-0.160985, 0.330808, 0.106958, -0.024131, -0.195431,1.000000
-0.780096, -0.285639, -0.963257, -0.085478, -0.310453,0.000000
0.010898, 0.255659, 0.026106, 0.066367, -0.287024,1.000000
0.051485, -0.011707, 0.072703, 0.012421, -0.069693,1.000000
-0.062861, 0.349099, -0.094464, -0.066062, -0.308360,0.000000
0.177890, -0.159355, -0.379707, 0.209631, -0.450379,0.000000
1.686331, 0.055317, 1.174875, -0.290688, -0.019665,1.000000
0.844719, 0.470291, 0.054708, 0.082206, -0.327178,1.000000
0.026983, -0.051150, 0.702573, 0.050208, -0.364765,1.000000
-0.402551, 0.151955, 0.350040, -0.154458, -0.095084,0.000000
-0.134019, 0.426864, -1.019053, 0.082285, -0.024397,0.000000
-0.550564, 0.125903, 0.598422, 0.441443, -0.410364,1.000000
-0.013860, 0.155068, -0.360506, 0.061019, 0.111517,1.000000
-0.040784, 0.146434, 0.008520, -0.019419, 0.267942,1.000000
-0.524958, -0.650403, 0.686444, -0.085481, -0.115282,1.000000
0.073400, -0.208015, 0.149637, 0.065090, -0.300544,0.000000
0.995215, 0.111109, -0.134690, 0.011974, -0.081244,1.000000
0.574212, 0.258515, -0.253869, 0.088492, 0.192687,1.000000
-0.678871, 0.597439, 0.411690, 0.593844, 1.443097,0.000000
0.168552, 0.221946, 0.469558, 0.023326, -0.126413,1.000000
-0.885588, 0.428710, -0.887646, -0.105941, -0.375873,1.000000
1.371680, 0.103477, -1.123228, -0.581529, -0.155988,1.000000
-2.688061, -2.347620, 0.425300, -0.324305, -0.509170,1.000000
0.398465, -0.557649, -0.360353, -0.285126, -0.016451,1.000000
0.765719, -0.585223, 0.233629, 0.317116, 0.034625,1.000000
0.706640, 0.087415, 0.135104, 0.065140, -0.148477,1.000000
-0.188723, -0.243988, -4.936649, -0.296520, 0.050475,1.000000
-0.801000, -0.070641, 0.278746, -0.478034, 0.090818,0.000000
-0.497095, 0.223503, 0.589823, -0.261745, 0.128688,0.000000
-1.290142, -0.060258, 0.296433, -0.037976, -0.441493,0.000000
0.282499, -0.059411, 0.501588, 0.071605, -0.141328,1.000000
0.631483, -0.125485, 0.735200, 0.272410, 0.707998,0.000000
-4.113553, -0.854386, -1.726085, 4.528084, -0.246599,0.000000
0.143541, -0.346505, 0.462858, -0.129512, -0.247769,1.000000
-0.063248, -0.290439, 0.032047, 0.070647, -0.091828,1.000000
-0.289538, 0.017471, -0.279132, 0.034227, -0.248903,1.000000
-0.472807, 0.334435, 0.050085, 0.063805, -0.392073,0.000000
0.524446, -0.073222, 0.131975, 0.347762, -0.257143,0.000000
0.544665, 1.052341, -0.712288, -0.260546, -0.159591,1.000000
0.622798, 0.029721, -0.669237, -0.093414, -0.035537,0.000000
-0.551976, 0.339682, 0.056788, -0.107171, -0.045596,1.000000
-0.462266, 0.275320, -0.220823, -0.342221, -0.012990,0.000000
-0.352304, -0.001415, -0.409363, -0.466363, 0.110168,0.000000
-0.305346, 0.030666, -0.141808, -0.065659, -0.659941,1.000000
0.595496, 0.164101, -0.111594, -0.459267, 0.375834,0.000000
-0.123361, -0.026361, -0.531603, 0.012479, 0.054316,0.000000
1.965416, -0.585659, 1.559168, 0.094878, -0.237540,1.000000
0.550000, 0.256452, -0.442920, 0.106252, 0.030147,1.000000
1.289459, -0.975484, -0.480760, -0.236980, -1.115346,0.000000
2.110897, 1.105625, -1.600995, -0.271790, 0.201606,1.000000
-0.065113, 0.023549, 0.160291, 0.133098, -0.074306,1.000000
-0.029058, -0.196019, 0.079742, -0.011137, 0.192735,0.000000
-0.357832, 0.207523, 0.774886, -0.011027, 0.123474,1.000000
-0.336209, 0.089739, 0.227439, -0.160194, -0.106163,1.000000
0.243909, 0.092505, -0.029008, 0.002390, -0.071577,1.000000
-1.776076, 0.852777, -0.981949, -0.250241, -0.531441,1.000000
-3.063679, -0.016799, 0.451939, -0.209162, 0.042482,0.000000
-1.414578, 0.188155, 1.068730, -0.185544, -0.158671,1.000000
0.324004, 0.067400, -0.089504, -0.062718, -0.227459,1.000000
0.156345, 0.037813, 0.054805, 0.126431, -0.281771,1.000000
-0.123603, -0.472245, 0.496183, 0.037315, 0.032599,1.000000
-0.123206, -0.896493, 0.638972, 0.287288, -0.099882,1.000000
0.364565, -18.657646, 0.111310, -0.518799, -0.338427,1.000000
-0.222857, 0.072769, -0.476058, -0.011342, 0.052511,1.000000
-0.408809, 0.110863, -0.532026, -0.185881, -0.092944,1.000000
0.022108, 0.049469, -0.084745, 0.049808, -0.055303,1.000000
1.284799, 0.313083, -0.409483, 0.500953, -0.034266,0.000000
1.359472, 0.013658, 1.039357, -0.023277, -0.355708,1.000000
0.091797, 0.108808, -0.148250, 0.029301, -0.040859,1.000000
0.608102, 0.153446, -0.120198, 0.003274, -0.262851,1.000000
-0.645654, -0.536229, 0.084214, -0.047752, -0.029804,1.000000
0.233012, 0.140344, -1.617543, 0.979948, -0.180897,0.000000
0.030129, 0.634177, 0.159573, -1.677781, 2.475538,0.000000
-0.218722, 0.156365, -0.437084, 0.020628, -0.231917,1.000000
0.761262, -0.053418, -0.076793, 0.101821, 0.332215,0.000000
0.013112, 0.321205, 0.080318, -0.031901, -0.201298,1.000000
0.480243, 0.107037, -0.004420, 0.076684, -0.023976,1.000000
-0.121882, 0.320019, 0.041080, 0.010330, 0.135423,0.000000
1.839371, 0.108233, -0.234410, 0.142923, 0.566386,0.000000
0.680524, 0.152576, 0.246382, -0.034319, -0.262651,1.000000
0.224410, 0.104439, -0.497806, -0.018986, -0.151782,1.000000
-0.621226, 0.255658, -0.415660, -0.155823, -0.065596,0.000000
0.071202, 0.194101, -0.044595, -0.252261, -0.006440,0.000000
-0.395067, 1.081198, -0.681482, 0.035949, 0.462782,1.000000
-1.392652, 0.405251, 1.667127, -0.014654, -0.177789,1.000000
-0.875022, 0.403847, -0.434734, 0.172671, -0.070884,1.000000
-1.718912, -1.505911, -0.167413, -0.364702, -0.235859,1.000000
0.543525, 0.268482, -0.043395, -0.151973, -0.296604,0.000000
0.037803, 0.265436, 0.072184, -0.002338, -0.016123,1.000000
1.127195, 0.156375, -0.365765, -0.003719, -0.197816,1.000000
-0.335587, 0.078923, 0.490485, -0.113514, -0.187126,0.000000
-0.658536, 0.360627, 0.258156, -0.783874, 0.913733,0.000000
-0.036407, -0.050485, -0.738989, -0.397590, 0.522632,0.000000
0.267775, -0.999951, -0.523610, -0.236694, -0.101073,1.000000
0.133186, 0.232817, 0.209926, -0.101128, -0.075918,0.000000
-0.301870, 0.570147, -1.543434, -0.054892, -0.548142,1.000000
0.146909, 0.543667, -0.509762, -0.473795, -0.245289,0.000000
0.210555, -0.009882, -0.216388, 0.021574, 0.026611,1.000000
-1.040249, -0.188852, 0.618997, -0.073665, 0.305130,1.000000
-0.526358, 0.434221, -0.033866, -0.101635, -0.026188,1.000000
-2.771780, 0.959685, -0.234651, 0.074214, 0.224804,0.000000
2.066310, -0.219059, 2.082107, -0.404215, -0.299682,1.000000
0.076115, -0.797492, 11.482541, -0.316702, -0.160806,1.000000
-0.416475, 0.062181, 0.533715, 0.049679, -0.244958,0.000000
-1.017517, 0.852250, -0.986141, -0.370906, -0.229966,0.000000
0.130895, -0.065337, -0.059688, -0.101043, 0.064112,1.000000
0.315272, 0.245475, -1.417146, -0.018787, -0.507367,0.000000
0.515133, -0.077157, 0.097455, 0.530711, -0.383007,0.000000
-0.559618, -0.223031, -0.578956, -0.791492, 0.250005,0.000000
0.385987, 0.464976, -0.432719, -0.369276, 0.039511,0.000000
0.137938, 0.099413, 0.027987, 0.004055, -0.322104,1.000000
-0.511460, 0.306076, -0.106863, -0.065242, -0.873965,0.000000
-1.024944, 0.058836, -0.501637, 0.610556, -1.416783,0.000000
-0.193164, -0.371362, 0.151768, -0.562521, 0.330243,0.000000
-0.038863, -0.024826, -0.048806, 0.036748, -0.537800,1.000000
0.301622, 0.055258, 0.413436, -0.315729, -0.235141,0.000000
0.582263, 0.416328, -0.701972, -0.029666, 0.233782,1.000000
0.379600, 0.295652, -0.400361, 0.397323, -0.038927,0.000000
-0.221605, -0.116099, -0.296092, -0.026834, -0.361970,1.000000
0.363046, 0.312068, 0.374667, -0.107002, -0.438177,1.000000
1.293091, 0.405949, -0.575418, 0.967546, 0.280132,0.000000
-0.125424, -0.155159, 0.043657, 0.088748, 0.027687,1.000000
-1.094269, 0.227456, 0.113724, 18.803920, -1.233267,0.000000
0.333423, -1.229654, -10.554292, 0.293946, -0.417341,0.000000
-2.242599, 0.339141, 0.114637, -0.195909, -0.780240,0.000000
-0.199915, 0.299763, -0.115704, -0.025571, 0.003775,0.000000
-0.733525, -0.801962, -0.414141, -0.151652, 0.028491,1.000000
0.136336, -1.445948, 1.230225, -0.118295, -0.200446,1.000000
0.247526, 0.214093, -0.126809, 0.039606, 1.426194,0.000000
-0.759413, 0.048247, -0.499751, -1.997363, 4.436805,0.000000
-0.027635, -0.171992, 0.403774, 0.139584, -0.425132,1.000000
-0.155669, 0.183779, -0.313241, -0.207123, -0.149355,1.000000
-0.335918, 0.245003, 0.264262, -0.022450, 0.026455,1.000000
0.065955, -0.262252, -0.229913, 0.364491, -1.240774,0.000000
0.065654, -0.229865, -0.042856, -0.024579, -0.101931,1.000000
0.213232, -0.234828, -0.198708, -0.013167, -0.185787,1.000000
0.219795, 0.188077, -0.170505, 0.172250, -0.106903,1.000000
0.150946, -0.098871, 0.007450, -0.065588, -0.367961,1.000000
0.800064, -0.046622, 0.294390, 0.247308, -0.273863,1.000000
-0.060804, 0.268294, 1.024052, -0.081516, -0.164228,0.000000
-0.768958, -0.106673, 1.162269, -0.322240, -0.319291,0.000000
0.345545, 0.067205, -0.517507, -0.040508, 0.229086,1.000000
0.579427, 0.164498, 0.455590, -0.003882, 0.091837,1.000000
0.128904, 0.170547, -0.902430, -0.279628, 0.286049,0.000000
-0.122997, 0.069606, -0.013440, 0.004797, -0.036163,1.000000
0.424007, 0.418664, -0.480673, -0.002715, -0.064141,1.000000
0.518462, -0.166289, 0.384251, -1.354162, 4.265268,0.000000
1.138291, 0.183758, -0.883881, 0.450390, -0.685185,0.000000
0.426088, 0.214560, -0.109666, -0.057747, -0.147120,1.000000
0.130290, -0.117753, -0.213805, 0.098226, -1.302368,0.000000
0.416230, 0.140215, -0.175042, -0.042871, -0.121872,1.000000
0.357202, 0.040256, -0.004952, -0.039798, 0.145805,1.000000
0.307887, -0.210626, 0.357613, 0.169501, -0.125492,1.000000
-0.143810, -0.279796, 0.356475, -0.015558, -0.010143,1.000000
-0.687910, 0.494185, -0.379907, 0.198241, -0.920671,0.000000
-0.385639, 0.359153, -0.502947, -0.133430, -0.087768,1.000000
-0.393932, -0.237162, -0.013445, -0.012464, 0.076689,1.000000
0.417937, -0.212832, -0.137784, 0.054675, -0.188388,1.000000
-0.074424, 0.104370, 0.031359, 0.005871, -0.038830,1.000000
0.166812, -0.141674, 0.173581, 0.066017, 0.038077,1.000000
-0.284669, -1.445426, -0.128181, 1.027891, 0.895818,0.000000
0.316457, 0.126620, -0.339250, 0.031344, -0.318819,1.000000
0.305004, 0.398686, -0.061913, -0.262081, 0.748174,0.000000
0.095908, 0.219348, -0.139690, -0.324208, -0.299168,0.000000
0.623465, 0.100997, 0.250730, -0.973716, 0.835490,0.000000
-0.106047, -0.055702, -0.104846, -0.182145, -0.270955,0.000000
-1.934623, 0.427945, -0.190392, -0.560494, 0.828978,0.000000
0.604588, -0.026318, -1.000244, -0.022702, -0.723096,0.000000
0.346418, 0.301305, -0.169854, 0.411175, 0.525272,0.000000
-0.539293, -0.038675, 0.113826, -0.216197, -0.336856,0.000000
-0.249192, 0.088559, -0.852744, -0.842380, 0.272819,0.000000
0.276783, 0.040694, -0.211433, 0.001446, -0.102800,0.000000
0.226750, 0.856613, 0.135696, -0.038913, -0.105591,0.000000
-0.106871, 0.342448, -1.076740, -0.094736, -0.231016,0.000000
-0.371752, 0.157861, 0.868652, -0.532811, 0.138606,0.000000
-0.378074, -0.166600, -0.227098, -3.382245, 10.527129,0.000000
-0.860700, 0.409493, 0.145838, -0.217020, -0.408193,1.000000
0.192408, -0.172958, 0.716497, -0.174834, -0.049413,1.000000
-0.146691, 0.020775, -0.039417, -0.101567, 0.037986,1.000000
-0.344683, -1.129927, -0.589165, -0.135783, 0.093421,1.000000
0.189127, 0.175246, 0.249425, -0.029588, -0.187102,1.000000
0.113078, 0.093831, -0.013115, 0.109930, -0.072032,1.000000
-0.703804, 0.008036, 0.060870, 0.185975, 1.409326,0.000000
0.760420, 0.220359, -0.794271, -0.066077, -0.038652,1.000000
0.024473, 0.054945, 0.097521, 0.072434, -0.544338,0.000000
3.452541, 0.454064, 0.091134, -0.233862, -0.216547,1.000000
-0.441697, 0.354688, 0.195125, -0.000244, -0.010439,1.000000
0.799329, 0.172046, -0.896333, 0.288894, -0.984011,0.000000
-0.229121, 0.124152, 0.094766, 0.017226, -0.139986,1.000000
0.491632, 0.152825, -0.148637, -0.005213, -0.315376,1.000000
0.838275, 0.170202, 0.061718, -1.026876, 0.483156,0.000000
1.641579, 0.163274, -0.096246, -0.328440, -0.430771,1.000000
-0.607179, 0.048286, -0.717069, 0.077695, -0.836555,0.000000
-0.753574, 0.342500, 0.233983, -0.084577, -0.771412,0.000000
-0.361670, -1.557160, 0.352340, -0.052624, -0.163182,1.000000
-0.771775, 0.372290, 0.582779, 0.025347, 0.028218,1.000000
0.266596, 0.859804, -0.101383, -0.164125, -0.000270,1.000000
0.050267, 0.164185, 0.038134, 0.013201, -0.042449,1.000000
0.664898, 0.744598, -2.732977, -1.272604, 0.328425,1.000000
-0.727858, 0.134704, 1.551604, -0.147101, -0.042632,1.000000
-1.359016, 0.276526, -0.170483, -0.893487, -0.215598,1.000000
0.424631, -0.194129, 0.208577, -0.060247, -0.280690,1.000000
0.152401, 0.196341, -0.300265, -0.107857, 0.208415,1.000000
0.009047, -0.033775, 0.084425, -0.076031, -0.097951,1.000000
0.195616, 0.292357, -0.115057, -0.124432, 0.077633,1.000000
-0.007379, 0.189654, 0.267105, -0.106205, -0.068139,1.000000
-0.723188, 0.226981, 1.415386, -0.110079, 0.160564,1.000000
3.298390, -0.271153, 1.713896, -0.037185, -0.371244,0.000000
0.002296, 0.048268, -0.350418, -0.017383, -0.205619,1.000000
-0.600399, 0.323044, -0.483172, 0.044578, 0.315884,1.000000
1.287519, -0.424875, -0.254324, -0.062679, 1.236857,0.000000
-0.288643, -0.543702, -0.097472, -0.157942, 0.052616,1.000000
0.104808, -1.012486, 0.817945, 1.029319, -0.165735,0.000000
0.173455, -0.273871, 0.357693, 0.123322, 0.318131,1.000000
0.281180, 0.394334, 0.118354, 0.013755, -0.245557,1.000000
-1.059951, 0.445200, 0.771858, -0.154798, 0.079752,1.000000
0.322323, -0.101858, -0.144860, 0.053845, -0.152247,1.000000
-0.625595, 0.040042, 0.598726, 0.088711, 0.049889,1.000000
-0.051286, 0.267969, -0.138215, 0.018873, -0.101127,1.000000
0.836400, 0.111614, 0.196708, 0.101802, -0.275760,1.000000
0.156906, 0.030310, 0.344389, -0.056542, 0.180525,1.000000
0.280266, 0.216873, -0.452925, 0.010447, -0.245379,1.000000
0.323796, -0.199767, -0.286822, -0.009579, -0.309026,1.000000
0.207529, -0.009753, -0.102391, 0.023726, 0.052618,1.000000
-4.848215, 0.997893, 0.674545, 0.005780, 0.017364,1.000000
0.163788, 0.238044, 0.202836, 0.063094, -0.106795,1.000000
-0.302131, -0.105774, 0.091846, -0.030680, 0.024466,1.000000
-0.267881, 0.331393, 0.113355, -0.452550, 0.262078,0.000000
0.089779, -1.252852, 0.316939, -0.361940, -0.295371,1.000000
-0.203715, 0.319260, 2.318973, -0.092969, 0.112226,1.000000
-0.201514, 0.020698, -0.255196, -0.307416, -0.192787,1.000000
0.033394, -0.040170, -0.064579, 0.253765, -0.407936,0.000000
0.443144, 0.006124, 0.167977, 0.017916, -0.064369,1.000000
0.057487, -0.174128, -0.764317, -1.138096, 0.536570,0.000000
0.547237, 0.011911, -0.056090, -0.062966, -0.144217,1.000000
-0.318116, 0.115907, 0.332236, 0.017019, 0.074537,1.000000
0.295336, 0.302496, 0.270276, -0.013861, -0.189008,1.000000
0.509528, 0.249759, 0.279872, 0.035230, -0.114289,1.000000
0.327748, -0.029839, -0.667423, -0.137868, -0.305433,0.000000
-2.802407, -0.549840, -0.031725, 0.196108, -0.581490,0.000000
-0.405711, 0.341406, 0.254395, -0.020217, -0.518907,0.000000
-0.310687, -0.208514, -0.081653, -0.138083, -0.067936,1.000000
-2.280496, 0.644095, 0.080852, -0.170030, 0.073467,1.000000
-0.260132, 0.137532, -0.271942, 0.093886, -0.230219,1.000000
-0.262545, 0.228912, -0.374810, -0.046070, 0.074524,1.000000
1.102379, -0.598307, 0.605431, 0.010553, 0.146363,0.000000
-0.577204, -0.675635, -0.007972, -0.014407, 0.010532,1.000000
-0.836987, 0.194536, -0.455474, -0.597573, 2.143718,0.000000
0.051908, -0.152699, 0.948607, 0.010071, 0.001085,1.000000
0.318914, -0.074593, 0.132746, -0.174953, 3.336563,0.000000
-0.344749, -0.063617, 0.400964, -0.062617, -0.091133,1.000000
0.197863, -0.388324, 0.382626, 0.321133, -0.097405,1.000000
-0.268965, -0.213348, -0.093104, -0.003595, 0.194829,1.000000
-1.104158, 0.310419, 1.078715, 0.006699, -0.890630,0.000000
0.645970, 0.009844, -1.029192, 0.052569, -0.236555,1.000000
-1.190802, 1.563533, -0.310211, -0.526287, -0.079705,1.000000
-0.389345, 0.214372, -0.392288, 0.054063, -0.127268,1.000000
-0.341934, 0.224048, -0.107941, 0.012926, -0.613637,1.000000
0.005762, 0.169019, 0.046419, -0.053400, 0.020074,1.000000
-0.053821, 0.635560, 0.283970, -0.238508, 0.247781,1.000000
0.099222, 0.216623, -0.501478, 0.044275, -0.295787,1.000000
-4.244841, -0.717537, 0.265027, -0.157310, -0.302773,0.000000
-0.357221, 0.098727, -0.251262, -1.155684, 2.387751,0.000000
0.351382, -0.456168, 0.096487, 0.008555, -0.179602,0.000000
0.078163, -0.308704, 0.038603, -0.358874, -0.067117,1.000000
-0.137617, -0.248532, -0.473659, -0.220825, -0.074351,1.000000
-0.329087, -0.212125, -0.079257, -0.255305, -0.202819,1.000000
0.110934, 0.312888, -0.363412, 0.022080, -0.226546,1.000000
1.092873, 0.321319, -0.988112, -0.273771, -0.530818,1.000000
0.413816, -0.835415, 0.015002, 0.339150, -1.097148,1.000000
0.193887, 0.404057, 0.099417, 0.077768, -0.213910,1.000000
0.302630, 0.138276, 0.545827, -0.100598, -0.075001,1.000000
0.085189, 0.128706, 0.385369, 0.013639, 0.135401,1.000000
0.367842, 0.448811, 0.006761, -0.113914, -0.406794,1.000000
0.070336, -0.110938, 0.364403, 0.027482, -0.155001,1.000000
-0.083480, 0.209662, 0.130029, 0.003613, -0.355328,0.000000
-0.233299, -0.134038, 0.300144, 0.262645, -1.017884,0.000000
-0.120891, 0.086306, -0.094517, 0.023894, -0.224780,1.000000
0.100706, -0.018446, 0.274943, -0.205705, 8.596634,0.000000
0.155856, 0.090828, 0.226215, 0.206659, 0.241744,0.000000
-0.797845, 0.253892, -0.133436, -0.187697, -0.189377,0.000000
-0.396450, 0.150263, 0.158768, -0.106000, -0.144034,1.000000
-0.521852, 0.245175, 0.627381, 0.229290, -2.227483,0.000000
-0.104733, 0.075616, 0.566095, -0.128407, -0.179968,0.000000
0.070495, 0.079694, -0.387742, -0.058379, -0.225064,1.000000
-0.788815, 0.230736, -0.144092, -0.284408, -0.412835,1.000000
0.285377, -3.098419, -0.330825, -0.062458, 0.354605,1.000000
0.506774, 0.261929, -0.185443, -0.153439, 0.177629,1.000000
0.223704, 0.098053, 0.051785, -0.180781, -0.112027,1.000000
0.625361, -0.523137, 1.140799, 1.022522, -0.588144,0.000000
-0.024608, -0.104645, -0.196800, 0.219735, -0.558284,1.000000
-0.016876, 0.096296, 0.275576, 0.019722, 0.013866,1.000000
-0.738228, 0.822730, 0.577379, -0.153350, 0.255183,1.000000
-0.595478, -0.497139, -0.320016, 0.019039, -0.200415,1.000000
0.471971, 0.004096, 0.146900, -0.085480, -0.031490,1.000000
1.289338, -0.032657, -0.028418, -0.053345, -0.481713,0.000000
0.220877, -0.202703, -0.094525, -0.006752, -0.069786,1.000000
-0.085654, -0.058114, -0.566394, 0.005673, -0.106937,1.000000
1.036668, -1.348283, -1.931495, -0.284781, 0.036274,1.000000
1.809501, -0.479682, 0.430782, 0.475487, -0.968172,0.000000
-0.044850, 0.134018, 0.162682, 0.135003, -0.133733,1.000000
0.793002, 0.735653, -0.849083, 0.033800, -0.801676,1.000000
-0.928576, -0.141397, 0.325697, -0.429999, 0.376927,0.000000
0.587193, 0.084408, 0.209093, -0.568166, 0.316418,0.000000
0.014746, 0.188083, 0.162191, -0.117123, -0.027506,1.000000
0.135062, 0.168278, 0.908247, -0.128655, -0.123983,1.000000
0.273557, 0.071507, 0.393547, -0.036000, 0.102370,1.000000
0.247408, -0.261098, 0.422234, -0.188084, -0.027399,1.000000
